HostID,VerificationMediumID
923095,HV_017
923095,HV_008
923095,HV_015
923095,HV_006
923095,HV_001
934641,HV_016
934641,HV_009
934641,HV_006
934641,HV_002
937951,HV_008
937951,HV_009
937951,HV_015
937951,HV_006
937951,HV_001
941389,HV_016
941389,HV_008
941389,HV_015
941389,HV_006
941389,HV_001
943663,HV_016
943663,HV_007
943663,HV_015
943663,HV_006
943663,HV_001
943847,HV_016
943847,HV_008
943847,HV_015
943847,HV_006
943847,HV_001
946910,HV_016
946910,HV_017
946910,HV_007
946910,HV_015
946910,HV_006
946910,HV_001
956883,HV_008
956883,HV_015
956883,HV_006
956883,HV_001
964658,HV_015
964658,HV_006
964658,HV_001
971336,HV_015
971336,HV_006
971336,HV_001
983759,HV_016
983759,HV_008
983759,HV_015
983759,HV_006
983759,HV_001
990195,HV_008
990195,HV_015
990195,HV_006
990195,HV_001
990692,HV_016
990692,HV_008
990692,HV_015
990692,HV_006
990692,HV_001
1002255,HV_008
1002255,HV_015
1002255,HV_006
1002255,HV_001
1007123,HV_016
1007123,HV_007
1007123,HV_015
1007123,HV_001
1015653,HV_016
1015653,HV_008
1015653,HV_009
1015653,HV_015
1015653,HV_006
1015653,HV_001
1022302,HV_007
1022302,HV_015
1022302,HV_006
1022302,HV_001
1024728,HV_007
1024728,HV_015
1024728,HV_006
1024728,HV_001
1025556,HV_007
1025556,HV_008
1025556,HV_015
1025556,HV_006
1025556,HV_001
1025723,HV_016
1025723,HV_008
1025723,HV_009
1025723,HV_015
1025723,HV_006
1025723,HV_001
1030035,HV_016
1030035,HV_008
1030035,HV_015
1030035,HV_006
1030035,HV_001
1037114,HV_016
1037114,HV_008
1037114,HV_015
1037114,HV_006
1037114,HV_001
1037115,HV_016
1037115,HV_008
1037115,HV_015
1037115,HV_006
1037115,HV_001
1039322,HV_008
1039322,HV_015
1039322,HV_006
1039322,HV_001
1075031,HV_003
1092756,HV_016
1092756,HV_007
1092756,HV_015
1092756,HV_006
1092756,HV_001
1100212,HV_016
1100212,HV_007
1100212,HV_015
1100212,HV_006
1100212,HV_001
1102542,HV_008
1102542,HV_015
1102542,HV_006
1102542,HV_001
1107424,HV_016
1107424,HV_009
1107424,HV_015
1107424,HV_006
1107424,HV_001
1118758,HV_011
1118758,HV_016
1118758,HV_008
1118758,HV_009
1118758,HV_015
1118758,HV_006
1118758,HV_001
1119024,HV_016
1119024,HV_008
1119024,HV_015
1119024,HV_006
1119024,HV_001
1121532,HV_008
1121532,HV_015
1121532,HV_006
1121532,HV_001
1123549,HV_008
1123549,HV_015
1123549,HV_006
1123549,HV_001
1131945,HV_016
1131945,HV_017
1131945,HV_008
1131945,HV_015
1131945,HV_006
1131945,HV_001
1135078,HV_016
1135078,HV_007
1135078,HV_015
1135078,HV_006
1135078,HV_001
1135188,HV_016
1135188,HV_008
1135188,HV_015
1135188,HV_006
1135188,HV_001
1142416,HV_011
